waluta;kod;styczeń;luty;marzec;kwiecień;maj;czerwiec;lipiec;sierpień;wrzesień;październik;listopad;grudzień;Rok
korona norweska;NOK;0.4854;0.4862;0.4726;0.4611;0.4475;0.4432;0.4501;0.4575;0.4576;0.4539;0.4407;0.4269;2017
korona szwedzka;SEK;0.4597;0.4549;0.4506;0.4417;0.4332;0.4314;0.4418;0.4464;0.448;0.4438;0.4298;0.423;2017
lej rumuński;RON;0.9702;0.9551;0.9437;0.9353;0.9234;0.921;0.9273;0.9318;0.9286;0.9297;0.9131;0.9062;2017
lew (Bułgaria);BGN;2.2347;2.2035;2.1945;2.1671;2.1495;2.1517;2.1659;2.1814;2.1833;2.1816;2.1624;2.1483;2017
lira turecka;TRY;1.0973;1.1043;1.0947;1.0833;1.0655;1.065;1.0329;1.0278;1.0318;0.9875;0.9265;0.9223;2017
nowy  izraelski szekel;ILS;1.0773;1.0854;1.0997;1.0836;1.0586;1.0612;1.0379;1.0034;1.0139;1.0337;1.0241;1.0133;2017
peso  chilijskie;CLP;0.00622;0.006297;0.006076;0.006036;0.005669;0.005634;0.005589;0.005606;0.00573;0.005763;0.00569;0.00558;2017
peso filipińskie;PHP;0.0828;0.081;0.08;0.0794;0.0764;0.0752;0.0727;0.0709;0.0702;0.0706;0.0708;0.0705;2017
peso meksykańskie;MXN;0.1923;0.1994;0.2075;0.211;0.2026;0.2064;0.2063;0.2027;0.2009;0.1932;0.1901;0.1852;2017
rand (Republika Południowej Afryki);ZAR;0.3034;0.3067;0.3112;0.2943;0.2865;0.2908;0.28;0.2724;0.2727;0.2649;0.2555;0.2701;2017
real (Brazylia);BRL;1.2855;1.3046;1.2828;1.2594;1.1851;1.1398;1.1462;1.1461;1.1427;1.1382;1.1053;1.0765;2017
ringgit (Malezja);MYR;0.9232;0.9114;0.9054;0.8984;0.8818;0.8768;0.858;0.8435;0.8496;0.8584;0.864;0.8703;2017
rupia indonezyjska;IDR;0.00030789;0.0003036;0.00030107;0.00029738;0.00028576;0.00028185;0.0002758;0.00027075;0.00026908;0.00026837;0.00026643;0.00026171;2017
rupia  indyjska;INR;0.060447;0.060416;0.06095;0.061284;0.059086;0.058192;0.057096;0.05646;0.055562;0.055766;0.055541;0.055214;2017
won południowokoreański;KRW;0.003484;0.003541;0.003537;0.003489;0.003379;0.003316;0.003245;0.003189;0.003162;0.003202;0.00327;0.003276;2017
yuan renminbi (Chiny);CNY;0.5971;0.5892;0.5825;0.5741;0.5528;0.5507;0.5434;0.5414;0.5455;0.5478;0.544;0.5383;2017
SDR (MFW);XDR;5.5637;5.482;5.4474;5.3855;5.2363;5.1907;5.1399;5.1025;5.0915;5.1127;5.0836;5.022;2017
bat (Tajlandia);THB;0.107;0.1071;0.1092;0.1092;0.1132;0.1136;0.1114;0.1124;0.1131;0.1143;0.1148;0.1152;2018
dolar amerykański;USD;3.4141;3.3701;3.4158;3.4188;3.6183;3.6876;3.7095;3.7175;3.6837;3.7495;3.7866;3.7691;2018
dolar australijski;AUD;2.7134;2.6572;2.6494;2.6274;2.7248;2.7634;2.7431;2.7211;2.6562;2.6617;2.7426;2.7024;2018
dolar Hongkongu;HKD;0.4366;0.4309;0.4356;0.4356;0.461;0.4699;0.4727;0.4736;0.47;0.4784;0.4836;0.4819;2018
dolar kanadyjski;CAD;2.7448;2.686;2.6425;2.6834;2.8136;2.8107;2.8206;2.8476;2.8267;2.8815;2.8715;2.805;2018
dolar nowozelandzki;NZD;2.4774;2.4665;2.4777;2.4756;2.5155;2.56;2.5156;2.4766;2.4339;2.4466;2.5611;2.5673;2018
dolar singapurski;SGD;2.5827;2.5549;2.5968;2.5978;2.7032;2.7371;2.7205;2.7144;2.6884;2.7174;2.7526;2.7501;2018
euro;EUR;4.1636;4.1683;4.2101;4.1948;4.282;4.3054;4.3301;4.2873;4.2992;4.306;4.3029;4.2905;2018
forint (Węgry);HUF;0.013464;0.013378;0.013481;0.01346;0.013527;0.013344;0.013331;0.013276;0.013242;0.013288;0.013355;0.013297;2018
frank szwajcarski;CHF;3.5511;3.6115;3.6062;3.5305;3.6283;3.727;3.7263;3.7566;3.8086;3.7723;3.7808;3.7975;2018
funt szterling;GBP;4.7112;4.7201;4.7661;4.8084;4.8771;4.9016;4.8806;4.7818;4.8115;4.881;4.8819;4.778;2018
hrywna (Ukraina);UAH;0.12;0.1242;0.1299;0.1308;0.1382;0.1406;0.1404;0.1349;0.1307;0.1334;0.1356;0.1358;2018
jen (Japonia);JPY;0.030758;0.031224;0.032236;0.031762;0.032984;0.033532;0.033261;0.033466;0.032912;0.033252;0.033423;0.033584;2018
korona czeska;CZK;0.1635;0.1646;0.1656;0.1654;0.1672;0.1669;0.1675;0.1669;0.1678;0.1667;0.1659;0.166;2018
korona duńska;DKK;0.5592;0.5598;0.5652;0.5632;0.5749;0.578;0.581;0.5751;0.5765;0.5772;0.5767;0.5747;2018
korona islandzka;ISK;0.033198;0.033415;0.034289;0.034322;0.03487;0.034564;0.034816;0.034532;0.033411;0.032111;0.030833;0.031232;2018
korona norweska;NOK;0.4313;0.4307;0.4391;0.436;0.4473;0.4543;0.4556;0.446;0.4463;0.4539;0.4471;0.4369;2018
korona szwedzka;SEK;0.424;0.4196;0.4142;0.4044;0.4138;0.4188;0.4197;0.4102;0.4111;0.4147;0.4178;0.4172;2018
lej rumuński;RON;0.895;0.8953;0.9032;0.9004;0.9228;0.9234;0.9309;0.9233;0.925;0.9229;0.9231;0.9222;2018
lew (Bułgaria);BGN;2.1288;2.1313;2.1526;2.1448;2.1894;2.2014;2.214;2.1921;2.1982;2.2016;2.2;2.1937;2018
lira turecka;TRY;0.9054;0.8909;0.8776;0.842;0.8194;0.7939;0.7784;0.6364;0.5829;0.6426;0.7046;0.7092;2018
nowy izraelski szekel;ILS;0.9979;0.9652;0.985;0.967;1.0087;1.0236;1.0174;1.0134;1.0262;1.0252;1.0217;1.004;2018
peso chilijskie;CLP;0.005635;0.005647;0.005657;0.005694;0.005783;0.005794;0.005683;0.005653;0.005427;0.005525;0.005587;0.005513;2018
peso filipińskie;PHP;0.0676;0.065;0.0655;0.0657;0.0693;0.0695;0.0694;0.0698;0.0683;0.0695;0.0718;0.0714;2018
peso meksykańskie;MXN;0.1802;0.181;0.1834;0.186;0.1858;0.1813;0.1947;0.197;0.1939;0.1958;0.1872;0.1874;2018
rand (Republika Południowej Afryki);ZAR;0.28;0.2853;0.2879;0.2826;0.2889;0.2776;0.2762;0.2642;0.2506;0.2584;0.2681;0.2648;2018
real (Brazylia);BRL;1.0623;1.0396;1.042;1.0064;1.0011;0.9744;0.9674;0.9517;0.8972;0.9936;1.0034;0.9711;2018
ringgit (Malezja);MYR;0.8634;0.8617;0.8751;0.8795;0.9135;0.9227;0.9156;0.9082;0.8904;0.9016;0.9049;0.9033;2018
rupia indonezyjska;IDR;0.00025521;0.0002479;0.0002482;0.00024753;0.00025768;0.0002633;0.00025747;0.0002553;0.00024806;0.00024699;0.00025815;0.00026001;2018
rupia indyjska;INR;0.05365;0.052328;0.052501;0.052049;0.053595;0.05439;0.053996;0.053424;0.051117;0.050956;0.052723;0.05336;2018
won południowokoreański;KRW;0.003204;0.003126;0.003186;0.003197;0.003361;0.003373;0.003301;0.003313;0.003293;0.003309;0.003358;0.003356;2018
yuan renminbi (Chiny);CNY;0.5311;0.5332;0.5403;0.5425;0.5679;0.5706;0.5521;0.5423;0.5375;0.5412;0.5457;0.5469;2018
SDR (MFW);XDR;4.9149;4.8956;4.9603;4.9542;5.1531;5.2146;5.2108;5.1803;5.1606;5.2117;5.239;5.221;2018
bat (Tajlandia);THB;0.1182;0.1214;0.12;0.1197;0.1207;0.1214;0.1232;0.127;0.1294;0.1283;0.1281;0.1273;2019
dolar amerykański;USD;3.7617;3.8023;3.8052;3.8145;3.8393;3.7811;3.7959;3.9067;3.9535;3.8935;3.8745;3.8443;2019
dolar australijski;AUD;2.6862;2.7138;2.6942;2.7148;2.6678;2.6246;2.6528;2.6455;2.691;2.6456;2.6463;2.6462;2019
dolar Hongkongu;HKD;0.4797;0.4845;0.4848;0.4862;0.4892;0.4831;0.486;0.4983;0.5046;0.4965;0.495;0.4926;2019
dolar kanadyjski;CAD;2.8247;2.8768;2.8496;2.851;2.8526;2.8419;2.8992;2.9444;2.9842;2.9506;2.9273;2.9187;2019
dolar nowozelandzki;NZD;2.5469;2.5973;2.5985;2.5625;2.5213;2.4927;2.5374;2.5128;2.5076;2.4671;2.4791;2.5348;2019
dolar singapurski;SGD;2.7726;2.8085;2.81;2.8131;2.8018;2.7724;2.7891;2.8212;2.8652;2.8399;2.8451;2.8334;2019
euro;EUR;4.2954;4.3157;4.2996;4.2874;4.2965;4.266;4.2598;4.3437;4.3547;4.3025;4.2843;4.2721;2019
forint (Węgry);HUF;0.013423;0.013569;0.013602;0.013352;0.01322;0.013216;0.013094;0.013292;0.013098;0.01298;0.012846;0.012915;2019
frank szwajcarski;CHF;3.8033;3.7975;3.8019;3.786;3.7978;3.82;3.8442;3.9844;3.9919;3.918;3.902;3.9087;2019
funt szterling;GBP;4.844;4.9378;5.0093;4.9707;4.936;4.79;4.7381;4.7447;4.8812;4.9157;4.9918;5.0394;2019
hrywna (Ukraina);UAH;0.1348;0.1403;0.1417;0.1427;0.1455;0.1429;0.1479;0.1548;0.1602;0.1567;0.1593;0.163;2019
jen (Japonia);JPY;0.034527;0.034481;0.03422;0.034153;0.034894;0.034972;0.03508;0.036731;0.036787;0.03602;0.035587;0.035204;2019
korona czeska;CZK;0.1675;0.1678;0.1675;0.167;0.1668;0.1666;0.1668;0.1684;0.1684;0.1674;0.1678;0.1676;2019
korona duńska;DKK;0.5754;0.5783;0.5761;0.5743;0.5754;0.5713;0.5706;0.5822;0.5834;0.576;0.5734;0.5717;2019
korona islandzka;ISK;0.031484;0.031704;0.03172;0.031672;0.031277;0.03033;0.030439;0.031569;0.031635;0.031272;0.03134;0.031493;2019
korona norweska;NOK;0.4396;0.4428;0.4423;0.4456;0.4396;0.4375;0.441;0.4358;0.4384;0.4254;0.4232;0.426;2019
korona szwedzka;SEK;0.4184;0.4112;0.4094;0.4091;0.4003;0.4015;0.4035;0.4047;0.4071;0.3985;0.402;0.4078;2019
lej rumuński;RON;0.9136;0.909;0.9046;0.9012;0.9026;0.9024;0.9008;0.9186;0.9191;0.9051;0.8984;0.894;2019
lew (Bułgaria);BGN;2.1962;2.2066;2.1984;2.1921;2.1968;2.1812;2.178;2.2209;2.2265;2.1998;2.1906;2.1843;2019
lira turecka;TRY;0.7001;0.7208;0.6944;0.6609;0.6339;0.6492;0.6689;0.6924;0.6921;0.6727;0.6755;0.6572;2019
nowy izraelski szekel;ILS;1.0191;1.0483;1.0517;1.0613;1.069;1.0505;1.0709;1.1125;1.1232;1.1076;1.1117;1.1062;2019
peso chilijskie;CLP;0.005555;0.00579;0.00569;0.005719;0.00556;0.00546;0.005537;0.005481;0.005507;0.005402;0.005003;0.005003;2019
peso filipińskie;PHP;0.0717;0.0729;0.0725;0.0734;0.0735;0.073;0.0743;0.075;0.076;0.0757;0.0764;0.0757;2019
peso meksykańskie;MXN;0.1958;0.1982;0.1977;0.2012;0.2009;0.1958;0.1992;0.1989;0.2018;0.2013;0.2008;0.2012;2019
rand (Republika Południowej Afryki);ZAR;0.2709;0.2758;0.2647;0.2698;0.2665;0.2586;0.2703;0.2584;0.2662;0.2612;0.2617;0.2671;2019
real (Brazylia);BRL;1.0032;1.023;0.9933;0.9787;0.9616;0.9778;1.0048;0.9773;0.9586;0.9512;0.9361;0.9344;2019
ringgit (Malezja);MYR;0.9136;0.932;0.9328;0.927;0.921;0.9084;0.9207;0.9333;0.9448;0.9298;0.9317;0.9272;2019
rupia indonezyjska;IDR;0.00026567;0.00027104;0.00026781;0.00026995;0.00026718;0.0002656;0.00027066;0.00027468;0.00028047;0.00027588;0.00027559;0.00027454;2019
rupia indyjska;INR;0.053176;0.053375;0.054734;0.054935;0.055017;0.054426;0.055197;0.054978;0.055426;0.054805;0.054192;0.05399;2019
won południowokoreański;KRW;0.003354;0.003386;0.00336;0.003339;0.003245;0.003217;0.003224;0.003229;0.00331;0.003289;0.003317;0.003277;2019
yuan renminbi (Chiny);CNY;0.5541;0.564;0.5669;0.5681;0.5604;0.5478;0.5519;0.5536;0.5559;0.5491;0.5519;0.5481;2019
SDR (MFW);XDR;5.2427;5.2904;5.2907;5.2946;5.3073;5.2375;5.2442;5.3599;5.4116;5.3421;5.3274;5.3054;2019
bat (Tajlandia);THB;0.1259;0.1251;0.125;0.1282;0.1296;0.1266;0.1239;0.1191;0.121;0.1235;0.1249;0.1223;2020
dolar amerykański;USD;3.8287;3.9201;4.0126;4.1856;4.1569;3.9453;3.8943;3.719;3.7926;3.8605;3.8035;3.6778;2020
dolar australijski;AUD;2.6304;2.6127;2.5019;2.6324;2.7114;2.7225;2.7318;2.6781;2.7443;2.7518;2.7655;2.7691;2020
dolar Hongkongu;HKD;0.4925;0.5042;0.5168;0.54;0.5362;0.5091;0.5024;0.4799;0.4894;0.4981;0.4906;0.4744;2020
dolar kanadyjski;CAD;2.9282;2.9513;2.888;2.9769;2.9779;2.9109;2.8805;2.8083;2.8711;2.922;2.9074;2.8697;2020
dolar nowozelandzki;NZD;2.5327;2.5054;2.4323;2.5116;2.5328;2.5437;2.5613;2.456;2.5326;2.5621;2.6096;2.6076;2020
dolar singapurski;SGD;2.8346;2.8221;2.8328;2.9402;2.9325;2.8322;2.8042;2.7165;2.7776;2.8398;2.8237;2.7603;2020
euro;EUR;4.2504;4.2789;4.4356;4.545;4.5291;4.445;4.4528;4.4021;4.474;4.5411;4.5023;4.4766;2020
forint (Węgry);HUF;0.012726;0.012681;0.012856;0.012771;0.012904;0.01279;0.012679;0.012618;0.012415;0.012528;0.012506;0.012469;2020
frank szwajcarski;CHF;3.9451;4.0166;4.1892;4.3107;4.2838;4.1474;4.1611;4.0882;4.1487;4.2282;4.1783;4.1383;2020
funt szterling;GBP;5.0033;5.0868;4.9706;5.1922;5.1125;4.9434;4.9211;4.8886;4.9179;5.0111;5.0223;4.9424;2020
hrywna (Ukraina);UAH;0.1585;0.1595;0.1513;0.154;0.1551;0.1478;0.1425;0.1352;0.1354;0.1363;0.1344;0.1306;2020
jen (Japonia);JPY;0.035031;0.03564;0.037293;0.038809;0.038809;0.036671;0.036459;0.03512;0.035924;0.03671;0.036467;0.035434;2020
korona czeska;CZK;0.1685;0.1707;0.1675;0.1668;0.1661;0.1667;0.1678;0.1682;0.1675;0.1669;0.1699;0.1701;2020
korona duńska;DKK;0.5688;0.5727;0.5938;0.6091;0.6073;0.5963;0.598;0.5912;0.6012;0.6102;0.6046;0.6016;2020
korona islandzka;ISK;0.031011;0.030997;0.029828;0.028978;0.028882;0.029162;0.028132;0.027265;0.027543;0.027773;0.027798;0.028851;2020
korona norweska;NOK;0.4284;0.4218;0.3952;0.4013;0.4109;0.4147;0.4176;0.4156;0.4155;0.4154;0.4181;0.4223;2020
korona szwedzka;SEK;0.4029;0.4046;0.4086;0.4177;0.427;0.4241;0.4298;0.4271;0.429;0.4367;0.4397;0.4399;2020
lej rumuński;RON;0.8893;0.8946;0.9186;0.9397;0.9361;0.9184;0.9203;0.91;0.9206;0.9315;0.9243;0.919;2020
lew (Bułgaria);BGN;2.1732;2.1878;2.2679;2.3238;2.3157;2.2727;2.2767;2.2507;2.2875;2.3218;2.302;2.2889;2020
lira turecka;TRY;0.6462;0.6463;0.6336;0.6117;0.5997;0.5784;0.5674;0.5115;0.5029;0.4857;0.4777;0.4763;2020
nowy izraelski szekel;ILS;1.1064;1.1413;1.1182;1.1724;1.1816;1.1419;1.1341;1.0935;1.1079;1.1368;1.1322;1.1331;2020
peso chilijskie;CLP;0.004968;0.00492;0.004779;0.004904;0.005061;0.004959;0.004958;0.004747;0.004905;0.004895;0.004988;0.005025;2020
peso filipińskie;PHP;0.0753;0.0772;0.0786;0.0826;0.0822;0.0789;0.0788;0.0763;0.0782;0.0796;0.0788;0.0765;2020
peso meksykańskie;MXN;0.2034;0.208;0.1815;0.1728;0.1772;0.1771;0.1734;0.1676;0.1756;0.181;0.1861;0.1842;2020
rand (Republika Południowej Afryki);ZAR;0.2664;0.2608;0.2416;0.2255;0.2296;0.2306;0.232;0.2157;0.2273;0.2345;0.2445;0.2469;2020
real (Brazylia);BRL;0.9271;0.9034;0.8269;0.7906;0.7408;0.7611;0.7351;0.6852;0.705;0.6863;0.698;0.715;2020
ringgit (Malezja);MYR;0.9389;0.9427;0.934;0.962;0.9579;0.9229;0.9127;0.8877;0.914;0.9296;0.9252;0.9069;2020
rupia indonezyjska;IDR;0.00027906;0.00028479;0.00026398;0.00026618;0.00028033;0.00027956;0.00026786;0.00025323;0.00025612;0.00026259;0.00026779;0.00026038;2020
rupia indyjska;INR;0.053709;0.054778;0.053912;0.054937;0.05495;0.0521;0.051966;0.049864;0.051603;0.052496;0.051231;0.049951;2020
won południowokoreański;KRW;0.003284;0.003278;0.003292;0.003423;0.003385;0.003269;0.003246;0.003134;0.003222;0.003374;0.003409;0.003359;2020
yuan renminbi (Chiny);CNY;0.5527;0.5604;0.5715;0.5919;0.585;0.5568;0.5551;0.5367;0.5568;0.5745;0.5759;0.5624;2020
SDR (MFW);XDR;5.2769;5.3689;5.5036;5.7034;5.6717;5.4503;5.4147;5.2564;5.3552;5.4543;5.4105;5.298;2020
bat (Tajlandia);THB;0.1243;0.1239;0.1256;0.122;0.1192;0.1189;0.1182;0.1173;0.1173;0.1184;0.1232;0.1217;2021
dolar amerykański;USD;3.7304;3.7196;3.8673;3.8212;3.7292;3.7375;3.8592;3.8835;3.8755;3.9607;4.0755;4.0834;2021
dolar australijski;AUD;2.8796;2.884;2.9792;2.9386;2.8935;2.8563;2.8651;2.834;2.8419;2.9299;2.974;2.9231;2021
dolar Hongkongu;HKD;0.4812;0.4798;0.498;0.4918;0.4803;0.4816;0.4966;0.4989;0.4982;0.5091;0.5232;0.5236;2021
dolar kanadyjski;CAD;2.9301;2.9297;3.0747;3.0529;3.0724;3.0584;3.0824;3.0808;3.0644;3.1816;3.2409;3.1921;2021
dolar nowozelandzki;NZD;2.6842;2.6938;2.7571;2.7192;2.6936;2.6571;2.6949;2.7073;2.7416;2.7914;2.8574;2.772;2021
dolar singapurski;SGD;2.8133;2.8013;2.8795;2.8616;2.8044;2.8028;2.8487;2.8656;2.8779;2.9318;3.0021;2.995;2021
euro;EUR;4.5435;4.4988;4.6007;4.5658;4.5301;4.5015;4.563;4.57;4.5664;4.5952;4.6508;4.6163;2021
forint (Węgry);HUF;0.012634;0.012553;0.012576;0.012653;0.012796;0.012869;0.012778;0.012982;0.012965;0.012737;0.012762;0.01257;2021
frank szwajcarski;CHF;4.209;4.1442;4.1573;4.1366;4.1305;4.1152;4.2033;4.2465;4.2043;4.2895;4.4221;4.4354;2021
funt szterling;GBP;5.0879;5.1556;5.3604;5.2832;5.2486;5.241;5.3274;5.357;5.3318;5.4192;5.4815;5.4351;2021
hrywna (Ukraina);UAH;0.1323;0.1335;0.1392;0.1369;0.1351;0.1374;0.142;0.145;0.1451;0.1502;0.1539;0.1501;2021
jen (Japonia);JPY;0.03596;0.035283;0.035555;0.035017;0.034175;0.033943;0.034987;0.035348;0.035188;0.03503;0.035773;0.035848;2021
korona czeska;CZK;0.1737;0.1738;0.1756;0.1759;0.177;0.1769;0.178;0.1794;0.1799;0.1802;0.183;0.1827;2021
korona duńska;DKK;0.6108;0.605;0.6187;0.6139;0.6092;0.6053;0.6135;0.6145;0.6141;0.6176;0.6253;0.6208;2021
korona islandzka;ISK;0.02906;0.02899;0.030332;0.030337;0.030288;0.030642;0.031032;0.030808;0.030298;0.030679;0.031173;0.03138;2021
korona norweska;NOK;0.4381;0.4375;0.4533;0.4544;0.4493;0.4437;0.4397;0.4381;0.4483;0.4673;0.4662;0.4552;2021
korona szwedzka;SEK;0.4502;0.4461;0.4524;0.4489;0.4465;0.445;0.4474;0.4472;0.4489;0.4569;0.4626;0.4496;2021
lej rumuński;RON;0.9324;0.9228;0.9414;0.9276;0.9197;0.9142;0.9263;0.9282;0.9231;0.9285;0.9397;0.9327;2021
lew (Bułgaria);BGN;2.323;2.3002;2.3523;2.3345;2.3162;2.3016;2.333;2.3366;2.3347;2.3495;2.3779;2.3603;2021
lira turecka;TRY;0.5047;0.5251;0.5049;0.4688;0.4454;0.4341;0.4486;0.4575;0.4534;0.43;0.3838;0.3016;2021
nowy izraelski szekel;ILS;1.1553;1.1363;1.1678;1.1644;1.1436;1.1494;1.1804;1.2038;1.2091;1.2329;1.3056;1.3041;2021
peso chilijskie;CLP;0.005168;0.005149;0.005333;0.005395;0.005236;0.00513;0.005134;0.004979;0.004942;0.004865;0.005009;0.004811;2021
peso filipińskie;PHP;0.0776;0.0771;0.0796;0.0789;0.0778;0.0776;0.0771;0.0773;0.0772;0.0781;0.081;0.0812;2021
peso meksykańskie;MXN;0.1873;0.1832;0.1861;0.1904;0.1867;0.1867;0.1932;0.1935;0.1936;0.1934;0.195;0.1952;2021
rand (Republika Południowej Afryki);ZAR;0.2473;0.2519;0.2579;0.2648;0.2649;0.2687;0.2659;0.2623;0.2665;0.2665;0.2622;0.2573;2021
real (Brazylia);BRL;0.6996;0.6871;0.6866;0.6852;0.7039;0.7428;0.7493;0.7387;0.7373;0.7152;0.7343;0.7223;2021
ringgit (Malezja);MYR;0.9239;0.9191;0.9407;0.9267;0.9039;0.9039;0.9186;0.9204;0.9304;0.9513;0.9749;0.9696;2021
rupia indonezyjska;IDR;0.00026593;0.00026484;0.00026884;0.00026293;0.00026069;0.00026083;0.00026618;0.00026993;0.000272;0.00027939;0.0002857;0.00028503;2021
rupia indyjska;INR;0.051029;0.051066;0.053139;0.051308;0.05092;0.050793;0.051765;0.052359;0.052696;0.052914;0.053429;0.053558;2021
won południowokoreański;KRW;0.003393;0.003344;0.00342;0.003417;0.003323;0.003331;0.003371;0.003342;0.003307;0.003351;0.003441;0.003448;2021
yuan renminbi (Chiny);CNY;0.5761;0.5757;0.5941;0.5856;0.5799;0.5818;0.5962;0.5996;0.6003;0.6166;0.6379;0.6412;2021
SDR (MFW);XDR;5.3837;5.3539;5.5148;5.4621;5.3731;5.3607;5.4934;5.5191;5.5131;5.5957;5.7194;5.7086;2021
bat (Tajlandia);THB;0.1211;0.1231;0.13;0.1271;0.1279;0.1256;0.1289;0.1302;0.1291;0.129;0.1268;0.1271;2022
dolar amerykański;USD;4.0239;4.0156;4.3207;4.2899;4.3987;4.3876;4.6831;4.6578;4.7784;4.8939;4.6226;4.4209;2022
dolar australijski;AUD;2.8904;2.8762;3.1858;3.1689;3.1022;3.088;3.2096;3.2467;3.1995;3.114;3.0381;2.9832;2022
dolar Hongkongu;HKD;0.5164;0.5149;0.5523;0.5471;0.5604;0.5591;0.5967;0.5937;0.6088;0.6234;0.5903;0.5677;2022
dolar kanadyjski;CAD;3.1878;3.1556;3.4119;3.4012;3.4245;3.4254;3.6182;3.6104;3.594;3.5675;3.4339;3.2547;2022
dolar nowozelandzki;NZD;2.715;2.6807;2.9672;2.9064;2.8179;2.7936;2.9019;2.9229;2.8437;2.783;2.7913;2.8075;2022
dolar singapurski;SGD;2.9793;2.9815;3.1792;3.1441;3.182;3.1725;3.3564;3.3676;3.3837;3.434;3.3273;3.2706;2022
euro;EUR;4.5548;4.5539;4.7603;4.6465;4.6503;4.6457;4.7712;4.7216;4.739;4.8088;4.6977;4.6798;2022
forint (Węgry);HUF;0.012689;0.012747;0.012628;0.012403;0.012102;0.011697;0.011826;0.011753;0.011752;0.011501;0.011537;0.011503;2022
frank szwajcarski;CHF;4.3818;4.3506;4.6498;4.5475;4.4948;4.529;4.8337;4.8714;4.9137;4.917;4.7704;4.7441;2022
funt szterling;GBP;5.4553;5.4355;5.6905;5.5587;5.4724;5.4193;5.6163;5.5882;5.4289;5.5203;5.4054;5.3802;2022
hrywna (Ukraina);UAH;0.1436;0.1404;0.1403;0.1467;0.1467;0.1467;0.1403;0.1258;0.1258;0.1258;0.1258;0.1258;2022
jen (Japonia);JPY;0.035018;0.034851;0.036478;0.033997;0.034152;0.032804;0.034299;0.034483;0.033477;0.033268;0.032357;0.032802;2022
korona czeska;CZK;0.186;0.1863;0.1903;0.1902;0.1881;0.1879;0.1939;0.1922;0.1929;0.196;0.1927;0.1928;2022
korona duńska;DKK;0.6121;0.612;0.6398;0.6246;0.625;0.6245;0.6411;0.6347;0.6373;0.6464;0.6315;0.6292;2022
korona islandzka;ISK;0.031154;0.032074;0.033202;0.033194;0.033555;0.033595;0.03432;0.033715;0.03378;0.034034;0.03199;0.031079;2022
korona norweska;NOK;0.4553;0.4527;0.4887;0.4832;0.4587;0.4511;0.4681;0.4805;0.4677;0.4625;0.4537;0.4478;2022
korona szwedzka;SEK;0.4402;0.4316;0.4512;0.4504;0.4431;0.4386;0.451;0.4495;0.4398;0.439;0.4314;0.4259;2022
lej rumuński;RON;0.921;0.9207;0.9619;0.9398;0.9401;0.9394;0.9658;0.9646;0.966;0.9758;0.9561;0.951;2022
lew (Bułgaria);BGN;2.3288;2.3283;2.4339;2.3757;2.3776;2.3753;2.4394;2.4141;2.423;2.4587;2.4019;2.3927;2022
lira turecka;TRY;0.2969;0.2938;0.2951;0.2916;0.282;0.2578;0.2683;0.2582;0.261;0.2633;0.2483;0.2369;2022
nowy izraelski szekel;ILS;1.2847;1.2483;1.3323;1.3245;1.3021;1.2884;1.3514;1.4145;1.3875;1.3799;1.3241;1.2813;2022
peso chilijskie;CLP;0.004895;0.004971;0.005414;0.005265;0.005184;0.005106;0.00492;0.005156;0.005196;0.005132;0.005028;0.005061;2022
peso filipińskie;PHP;0.0785;0.0783;0.0829;0.0825;0.084;0.0817;0.0838;0.0835;0.083;0.0833;0.0803;0.0796;2022
peso meksykańskie;MXN;0.1964;0.1964;0.2101;0.2138;0.2196;0.2199;0.2283;0.2315;0.2383;0.2447;0.2373;0.2259;2022
rand (Republika Południowej Afryki);ZAR;0.2598;0.264;0.2882;0.2862;0.2767;0.2784;0.2781;0.2795;0.2723;0.2699;0.2633;0.256;2022
real (Brazylia);BRL;0.7276;0.7723;0.8669;0.9066;0.8873;0.8734;0.8735;0.9043;0.9154;0.9284;0.8778;0.8436;2022
ringgit (Malezja);MYR;0.9608;0.9589;1.0291;1.0057;1.004;0.9969;1.0548;1.0432;1.0525;1.0429;1.0018;1.002;2022
rupia indonezyjska;IDR;0.00028074;0.00027978;0.00030114;0.00029838;0.00030157;0.00029873;0.00031283;0.00031414;0.00031914;0.00031722;0.00029485;0.00028368;2022
rupia indyjska;INR;0.054061;0.053545;0.056675;0.056312;0.056913;0.056214;0.058862;0.058536;0.059594;0.059445;0.056477;0.053602;2022
won południowokoreański;KRW;0.003364;0.003352;0.003538;0.003476;0.00347;0.003435;0.00358;0.003531;0.00343;0.003426;0.003394;0.003416;2022
yuan renminbi (Chiny);CNY;0.6332;0.6358;0.6811;0.6674;0.6565;0.6558;0.6955;0.6852;0.6811;0.6807;0.6431;0.6336;2022
SDR (MFW);XDR;5.6342;5.629;5.9705;5.8492;5.9096;5.8803;6.1734;6.1256;6.1691;6.2707;6.0071;5.8788;2022
bat (Tajlandia);THB;0.1309;0.13;0.1273;0.1238;0.1221;0.1182;0.1161;0.1167;0.12;0.1171;0.1149;0.1136;2023
dolar amerykański;USD;4.3571;4.4264;4.3914;4.2333;4.1791;4.1215;4.0273;4.0888;4.2974;4.2758;4.0787;3.9672;2023
dolar australijski;AUD;3.0257;3.0565;2.9314;2.8296;2.7773;2.7675;2.7077;2.6508;2.7631;2.7167;2.6446;2.6575;2023
